0,62207.51559,99999999,99999999,4706.888371,13454.66505,99999999,85585.47512,84814.65472,78328.96321,99999999,74603.60301,109931.1868,26508.76803,37563.09045,34933.47198,47802.13116,35331.74759,29953.25746,23455.98163,13540.89034,133100.9431,99999999,45960.4905,99999999,24819.03797,7551.158241,22108.5486,17553.35152,7739.135922,18982.75056,11816.84379,99999999,99999999,22101.00398,18972.70005,102388.2305,29986.4768,41231.74861,41000.06312,10186.56895,9462.96215,31415.12335,2165.904855,32892.39325,12662.96317,53405.20012,29802.22433,16052.47482,21359.36319
62207.51559,0,99999999,99999999,66914.40396,75662.18063,99999999,75358.67514,74587.85474,68102.16323,99999999,64376.80303,99704.38683,86812.33808,99770.60603,97140.98757,110009.6467,26875.768,56158.32826,85663.49721,75748.40593,122874.1432,99999999,72165.5613,99999999,87026.55355,69758.67383,84316.06419,44694.92815,69946.65151,81190.26615,70825.98844,99999999,99999999,84308.51957,43234.81553,92161.43048,92193.99238,103439.2642,21207.45247,70490.13899,71670.47774,93622.63894,60318.00393,95099.90884,74870.47876,81800.43985,58197.46406,78259.99041,83566.87878
99999999,99999999,0,31785.06525,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
99999999,99999999,31785.06525,0,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
4706.888371,66914.40396,99999999,99999999,0,8747.776675,99999999,90292.36349,89521.5431,83035.85158,99999999,79310.49138,114638.0752,30838.60504,40528.33803,37898.71957,50767.37874,40038.63596,34660.14583,26421.22921,16506.13793,137807.8315,99999999,50667.37887,99999999,27784.28555,10516.40583,25073.79619,22260.23989,3032.247551,21947.99815,16146.68079,99999999,99999999,25066.25156,23679.58843,107095.1188,32951.72438,44196.99619,45706.95149,14516.40595,4756.073779,34380.37094,6872.793226,35857.64084,15628.21075,58112.08849,34509.1127,19017.72241,24324.61078
13454.66505,75662.18063,99999999,99999999,8747.776675,0,99999999,99040.14016,98269.31977,91783.62825,99999999,88058.26805,123385.8519,39586.38171,49276.11471,46646.49624,59515.15542,48786.41263,43407.9225,35169.00589,25253.9146,146555.6082,99999999,59415.15554,99999999,36532.06223,19264.1825,33821.57286,31008.01657,6079.900007,30695.77482,24894.45747,99999999,99999999,33814.02824,32427.3651,115842.8955,41699.50106,52944.77287,54454.72816,23264.18263,6668.534959,43128.14761,15620.5699,44605.41751,24375.98743,66859.86517,43256.88938,27765.49908,33072.38745
99999999,99999999,99999999,99999999,99999999,99999999,0,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
85585.47512,75358.67514,99999999,99999999,90292.36349,99040.14016,99999999,0,770.8203932,7320.882628,99999999,10981.87211,24469.31849,110190.2976,123148.5656,120518.9471,133387.6063,50253.72753,79536.2878,109041.4567,99126.36546,47639.07482,99999999,95543.52084,99999999,110404.5131,93136.63336,107694.0237,68072.88768,93324.61104,104568.2257,94203.94797,99999999,99999999,107686.4791,66612.77506,16926.36214,115571.9519,126817.2237,54151.22267,93868.09853,95048.43727,117000.5985,83695.96346,118477.8684,98248.43829,105178.3994,81575.42359,101637.9499,106944.8383
84814.65472,74587.85474,99999999,99999999,89521.5431,98269.31977,99999999,770.8203932,0,6550.062235,99999999,10211.05172,25116.53208,109419.4772,122377.7452,119748.1267,132616.7859,49482.90714,78765.4674,108270.6364,98355.54507,48286.28841,99999999,94772.70044,99999999,109633.6927,92365.81297,106923.2033,67302.06729,92553.79065,103797.4053,93433.12757,99999999,99999999,106915.6587,65841.95467,17573.57574,114801.1315,126046.4033,53380.40227,93097.27813,94277.61687,116229.7781,82925.14307,117707.048,97477.61789,104407.579,80804.6032,100867.1295,106174.0179
78328.96321,68102.16323,99999999,99999999,83035.85158,91783.62825,99999999,7320.882628,6550.062235,0,99999999,3725.3602,31666.59432,102933.7857,115892.0537,113262.4352,126131.0944,42997.21562,72279.77589,101784.9448,91869.85355,54836.35065,99999999,88287.00893,99999999,103148.0012,85880.12145,100437.5118,60816.37577,86068.09913,97311.71377,86947.43606,99999999,99999999,100429.9672,59356.26315,24123.63797,108315.44,119560.7118,46894.71076,86611.58662,87791.92536,109744.0866,76439.45156,111221.3565,90991.92638,97921.88747,74318.91168,94381.43803,99688.3264
