Age class,Body Size Mean (mm),Body Size Std (mm),Distribution,Sex Ratio,Age Mortality Out %,Age Mortality Out StDev,Age Mortality Back %,Age Mortality Back StDev,Size Mortality Out %,Size Mortality Out StDev,Size Mortality Back %,Size Mortaltiy Back StDev,Migration,Straying,Maturation,Fecundity_mu,Fecundity_sigma,Capture Out Probability,Capture Back Probability
0,50,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,0~0~0,0,0,N,N
1,100,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,0~0~0,0,0,N,N
2,150,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,.05~.15~0,50,50,N,N
3,200,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,.05~.50~0,100,50,N,N
4,250,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,1~1~0,250,50,N,N
5,300,10,1,50~50~0,30,0,30,0,30,0,30,0,0,0,1~1~0,250,50,N,N
6,350,10,1,50~50~0,90,0,90,0,90,0,90,0,0,0,1~1~0,500,50,N,N
7,400,10,1,50~50~0,100,0,100,0,100,0,100,0,0,0,1~1~0,500,50,N,N
